sum: 49995000



Stop after 1000 iterations
main shutdown
logger shutdown
[432]: sampled: 195000, processed: 1588000, actuated: 1629000
[433]: sampled: 173000, processed: 1321000, actuated: 1362000
[434]: sampled: 183000, processed: 1454000, actuated: 1494000
[435]: sampled: 194000, processed: 1466000, actuated: 1506000
[436]: sampled: 175000, processed: 1293000, actuated: 1334000
[437]: sampled: 185000, processed: 1577000, actuated: 1617000
[438]: sampled: 189000, processed: 1612000, actuated: 1653000
[439]: sampled: 165000, processed: 1436000, actuated: 1476000
[440]: sampled: 171000, processed: 1381000, actuated: 1421000
[441]: sampled: 179000, processed: 1541000, actuated: 1582000
[442]: sampled: 187000, processed: 1459000, actuated: 1499000
[443]: sampled: 165000, processed: 1221000, actuated: 1261000
[444]: sampled: 171000, processed: 1595000, actuated: 1635000
[445]: sampled: 179000, processed: 1389000, actuated: 1429000
[446]: sampled: 188000, processed: 1674000, actuated: 1714000
[447]: sampled: 171000, processed: 1564000, actuated: 1605000
[448]: sampled: 182000, processed: 1482000, actuated: 1523000
[449]: sampled: 159000, processed: 1399000, actuated: 1440000
[450]: sampled: 166000, processed: 1559000, actuated: 1599000
[451]: sampled: 172000, processed: 1535000, actuated: 1575000
[452]: sampled: 181000, processed: 1513000, actuated: 1553000
[453]: sampled: 188000, processed: 1397000, actuated: 1437000
[454]: sampled: 166000, processed: 1253000, actuated: 1293000
[455]: sampled: 174000, processed: 1537000, actuated: 1577000
[456]: sampled: 184000, processed: 1639000, actuated: 1679000
[457]: sampled: 921000, processed: 2443000, actuated: 2483000
[458]: sampled: 169000, processed: 1562000, actuated: 1602000
[459]: sampled: 178000, processed: 1388000, actuated: 1428000
[460]: sampled: 185000, processed: 1578000, actuated: 1618000
[461]: sampled: 187000, processed: 1457000, actuated: 1497000
[462]: sampled: 192000, processed: 1494000, actuated: 1534000
[463]: sampled: 170000, processed: 1471000, actuated: 1511000
[464]: sampled: 179000, processed: 1757000, actuated: 1797000
[465]: sampled: 190000, processed: 1307000, actuated: 1348000
[466]: sampled: 171000, processed: 1718000, actuated: 1758000
[467]: sampled: 186000, processed: 1549000, actuated: 1589000
[468]: sampled: 201000, processed: 1534000, actuated: 1574000
[469]: sampled: 187000, processed: 1581000, actuated: 1621000
[470]: sampled: 171000, processed: 1473000, actuated: 1513000
[471]: sampled: 181000, processed: 1543000, actuated: 1584000
[472]: sampled: 191000, processed: 1370000, actuated: 1410000
[473]: sampled: 169000, processed: 1501000, actuated: 1541000
[474]: sampled: 174000, processed: 1445000, actuated: 1485000
[475]: sampled: 183000, processed: 1545000, actuated: 1586000
