sum: 49995000






Stop after 1000 iterations
main shutdown
logger shutdown
[336]: sampled: 165000, processed: 1405000, actuated: 1445000
[337]: sampled: 173000, processed: 1320000, actuated: 1361000
[338]: sampled: 175000, processed: 1353000, actuated: 1393000
[339]: sampled: 179000, processed: 1541000, actuated: 1581000
[340]: sampled: 188000, processed: 1551000, actuated: 1591000
[341]: sampled: 165000, processed: 1528000, actuated: 1568000
[342]: sampled: 174000, processed: 1537000, actuated: 1577000
[343]: sampled: 183000, processed: 1608000, actuated: 1648000
[344]: sampled: 192000, processed: 1709000, actuated: 1749000
[345]: sampled: 173000, processed: 1475000, actuated: 1515000
[346]: sampled: 182000, processed: 1637000, actuated: 1677000
[347]: sampled: 193000, processed: 1494000, actuated: 1534000
[348]: sampled: 169000, processed: 1563000, actuated: 1603000
[349]: sampled: 176000, processed: 1447000, actuated: 1487000
[350]: sampled: 180000, processed: 1482000, actuated: 1522000
[351]: sampled: 188000, processed: 1490000, actuated: 1530000
[352]: sampled: 166000, processed: 1345000, actuated: 1385000
[353]: sampled: 172000, processed: 1412000, actuated: 1453000
[354]: sampled: 180000, processed: 1420000, actuated: 1460000
[355]: sampled: 187000, processed: 1549000, actuated: 1590000
[356]: sampled: 194000, processed: 1617000, actuated: 1657000
[357]: sampled: 168000, processed: 1530000, actuated: 1570000
[358]: sampled: 174000, processed: 1506000, actuated: 1546000
[359]: sampled: 183000, processed: 1361000, actuated: 1401000
[360]: sampled: 190000, processed: 1583000, actuated: 1623000
[361]: sampled: 167000, processed: 1651000, actuated: 1691000
[362]: sampled: 172000, processed: 1443000, actuated: 1483000
[363]: sampled: 177000, processed: 1478000, actuated: 1519000
[364]: sampled: 183000, processed: 1546000, actuated: 1586000
[365]: sampled: 190000, processed: 1522000, actuated: 1562000
[366]: sampled: 163000, processed: 1495000, actuated: 1535000
[367]: sampled: 169000, processed: 1470000, actuated: 1511000
[368]: sampled: 175000, processed: 1629000, actuated: 1669000
